Occurrence_num,Palaeolongitude,Palaeolatitude,Loc. Num.,Present.region,Old.Class,Order,Family,Genus,Operative_Genus,Operative_Genus.Subgenus,Genus.Subgenus_modifier,Genus_Modified,Modified_Genus,Species,Operative_Species,Genus.Species,British Stage,Appearance,Appearance_FAD,Appearance_LAD,FAD_interval,LAD_interval,Genus BA range,Depth.resolved,max_depth,min_depth,mean_depth,Community,Formation,Depth Association,lithology,Source,Read_more,Genus_FAD_interval,Genus_LAD_interval,interval_resolved,GRID_COORD,FAD_Coarse_Interval,LAD_Coarse_Interval,Cratonic,Palaeocontinent/Terrane,Continent_max_Northing,Continent_min_Northing,Merged.Terrains,Max.Palaeolongitude.Merged.450,Min.Palaeolatitude.Merged.450,Loc_ID
5331,-83.547,-45.898,33,"Bala District, Wales",Articulata,Strophomenida,Sowerbyellidae,Eoplectodonta(E.),Eoplectodonta,Eoplectodonta,,0,Eoplectodonta,abigailae_(prev.cf.rhombica),abigailae_(prev.cf.rhombica),Eoplectodonta_abigailae_(prev.cf.rhombica),Caradoc,Caradoc M - U (Longvillian - Onnian),Caradoc M,Caradoc U,2,3,BA 4-5,1,5,4,4.5,,Gelli-grîn - Onny Shale fms,BA 3-4,,Cocks 2010,"Williams 1963, Cocks & Zhan 1998",1,23,1,-85_-45,2,3,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-83.5_-45.9
1320,-98.916,-21.636,10,Va.,Articulata,Billingsellida,Triplesiidae,Oxoplecia,Oxoplecia,Oxoplecia,,0,Oxoplecia,abnormis,abnormis,Oxoplecia_abnormis,Caradoc,Caradoc E (Porterfield),Caradoc E,Caradoc E,1,1,BA 2-5,1,5,2,3.5,,Effna Fm,BA 4 ,,Cooper 1956,Patzkowsky 1995,1,14,1,-100_-20,1,1,0,Laurentia,33,0,Laurentia,18,-28,-98.9_-21.6
1209,-93.428,-18.599,10,Ontario  ,Articulata,Pentamerida,Parallelelasmatidae,Didymelasma,Didymelasma,Didymelasma,,0,Didymelasma,abruptum,abruptum,Didymelasma_abruptum,Caradoc,Caradoc E (Wilderness),Caradoc E,Caradoc E,1,1,BA 2-5,1,5,2,3.5,,Rockland Fm,BA 3-4,,Cooper 1956,,1,3,1,-95_-20,1,1,1,Laurentia,33,0,Laurentia,18,-28,-93.4_-18.6
512,-82.152,-11.911,8,Hudson Bay Basin,Articulata,Strophomenida,Leptostrophiidae,Brachyprion(Eomegastrophia),Brachyprion,Eomegastrophia,,0,Brachyprion,acanthoptera,acanthoptera,Eomegastrophia_acanthoptera,Llandovery,Telychian E-U,Telychian E,Telychian U,21,23,BA 1-4,1,4,1,2.5,,u Severn River Fm - lo Attawapiskat Fm,BA 1-4,Hypersaline - reef,Jin 2005,,7,23,1,-80_-10,10,11,1,Laurentia,33,0,Laurentia,18,-28,-82.2_-11.9
1917,23.117,-59.183,40,Bohemia,Articulata,Orthida,Saukrodictyidae,Saukrodictya,Saukrodictya,Saukrodictya,,0,Saukrodictya,aciculata,aciculata,Saukrodictya_aciculata,Caradoc,Caradoc U,Caradoc U,Caradoc U,3,3,BA 3-4,1,4,3,3.5,,Bohdalec Fm,BA 4-5,shale,Villas 1992,Adrian et al 2000,1,20,1,25_-60,3,3,0,Perunica,59,34,Greater_Gondwana,35,-90,23.1_-59.2
2184,15.681,-39.578,40,Bohemia,Articulata,Orthida,Saukrodictyidae,Saukrodictya,Saukrodictya,Saukrodictya,,0,Saukrodictya,aciculata,aciculata,Saukrodictya_aciculata,Ashgill,Pusgillian,Pusgillian E,Pusgillian U,4,6,BA 3-4,1,4,3,3.5,,Bohdalec Fm,BA 4-5,shale,Havlicek 1977; Villas 1992,Adrian et al 2000,1,20,1,15_-40,4,4,0,Perunica,59,34,Greater_Gondwana,35,-90,15.7_-39.6
67,-73.088,-22.024,7,Anticosti Island,Articulata,Atrypida,Atrypidae,Dihelictera,Dihelictera,Dihelictera,,0,Dihelictera,acrolopha,acrolopha,Dihelictera_acrolopha,Llandovery,Aeronian U,Aeronian U,Aeronian U,20,20,BA 2,1,2,2,2,,"East point & Richardson Mbs, Jupiter Fm",BA 2-4,patch reef facies,Copper 1995,,15,23,1,-75_-20,9,9,0,Laurentia,33,0,Laurentia,18,-28,-73.1_-22
3641,-83.388,-46.484,33,"Shropshire, UK ",Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Caradoc,Caradoc,Caradoc E,Caradoc U,1,3,BA 3-5,1,5,3,4,,?,BA 3-5,,Cocks & Zhan 1998,,1,14,1,-85_-45,1,3,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-83.4_-46.5
4578,-73.801,-41.132,33,"Glen Ceiriog, North Wales",Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Cautleyan U - Hirnantian,Cautleyan U,Hirnantian M*,9,14,BA 3-5,1,5,3,4,,Dolhir & Glyn fms,BA 2-3,Mud-siltst,Hiller 1980,,1,14,1,-75_-40,5,7,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-73.8_-41.1
4357,20.837,-67.961,41,E Pyreness,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Ashgill,Pusgillian E,Hirnantian M*,4,14,BA 3-5,1,5,3,4,,Schistes troués,BA 2-5,,Boucot et al 2003,Hammann et al 1982,1,14,1,20_-70,4,7,0,Armorica,76,66,Greater_Gondwana,35,-90,20.8_-68
